country_code,currency_code,full_price,gender,image_URL,item_URL,price,product_category,product_code,product_name,product_subcategory
GBR,GBP,980,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/7e135187-bbdd-46d3-82eb-30c489dd6ac3/ihqstx/std/500x0/STRETCHED-VISCOSE-JUMPER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-stretched-viscose-jumper--BKC45I7UA_E05,980,READY-TO-WEAR,BKC45I7UA_E05,STRETCHED VISCOSE JUMPER ,KNITWEAR
GBR,GBP,1570,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/b785cbdf-b148-49a8-8f73-f51165564179/ihqstx/std/500x0/CASHMERE-JUMPER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-cashmere-jumper--BKC48L83L_UWT,1570,READY-TO-WEAR,BKC48L83L_UWT,CASHMERE JUMPER ,KNITWEAR
GBR,GBP,980,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/675907e7-5e06-49a4-b55a-d93c340f8fa3/ihqstx/std/500x0/STRETCHED-VISCOSE-JUMPER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-stretched-viscose-jumper--BKC45I7UA_LC0,980,READY-TO-WEAR,BKC45I7UA_LC0,STRETCHED VISCOSE JUMPER ,KNITWEAR
GBR,GBP,2550,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/aa67fc9d-c4fd-4897-8b1e-d6f6fda57ae9/ihqstx/std/500x0/WOOL-AND-RHINESTONE-CARDIGAN-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-wool-and-rhinestone-cardigan--BKA05U82F_080,2550,READY-TO-WEAR,BKA05U82F_080,WOOL AND RHINESTONE CARDIGAN ,KNITWEAR
GBR,GBP,1470,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/f3328e8d-806c-41a2-807e-55fcc4313316/ihqstx/std/500x0/CASHMERE-SILK-JUMPER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-cashmere-silk-jumper--BKC48D830_954,1470,READY-TO-WEAR,BKC48D830_954,CASHMERE SILK JUMPER ,KNITWEAR
GBR,GBP,1470,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/b3e10a90-8425-43ff-842e-ee451aa11c4b/ihqstx/std/500x0/CASHMERE-SILK-JUMPER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-cashmere-silk-jumper--BKC48B830_157,1470,READY-TO-WEAR,BKC48B830_157,CASHMERE SILK JUMPER ,KNITWEAR
GBR,GBP,1690,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/cc11f01e-fb72-4612-9b63-ca6e8d38f2d2/ihqstx/std/500x0/WOOL-JUMPER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-wool-sweater--BKC51E8AL_ZKS,1690,READY-TO-WEAR,BKC51E8AL_ZKS,WOOL JUMPER ,KNITWEAR
GBR,GBP,980,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/f88f817f-0677-4aac-9217-92fbb9ce3e7d/ihqstx/std/500x0/STRETCHED-VISCOSE-JUMPER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-stretched-viscose-jumper--BKC45I7UA_S69,980,READY-TO-WEAR,BKC45I7UA_S69,STRETCHED VISCOSE JUMPER ,KNITWEAR
GBR,GBP,2850,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/626feada-9e8a-4799-a03c-1a49ec1f7d7b/ihqstx/std/500x0/TOILE-ICONOGRAPHE-WOOL-CARDIGAN?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-toile-iconographe-wool-cardigan-BKA05V82U_E21,2850,READY-TO-WEAR,BKA05V82U_E21,TOILE ICONOGRAPHE WOOL CARDIGAN,KNITWEAR
GBR,GBP,1570,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/56dec788-0f82-4239-b276-59d24e0c2eb9/ihqstx/std/500x0/TOILE-ICONOGRAPHE-WOOL-JUMPER?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-toile-iconographe-wool-jumper-BKC45Z84K_E21,1570,READY-TO-WEAR,BKC45Z84K_E21,TOILE ICONOGRAPHE WOOL JUMPER,KNITWEAR
